,species
0,Homo sapiens
1,Mus musculus
2,Danio rerio
3,Drosophila melanogaster
4,Rattus norvegicus
5,Caenorhabditis elegans
6,Arabidopsis thaliana
7,Sus scrofa
8,Solanum lycopersicum
9,Bos taurus
10,Gallus gallus
11,Oryctolagus cuniculus
12,Xenopus tropicalis
13,Glycine max
14,Mesocricetus auratus
15,Canis lupus familiaris
16,Bombyx mori
17,Ovis aries
18,Capra hircus
19,Callithrix jacchus
20,Brassica napus
21,Apis mellifera
22,Solanum tuberosum
23,Brassica rapa
24,Felis catus
25,Gossypium hirsutum
26,Triticum aestivum
27,Nicotiana tabacum
28,Oryza sativa
29,Arachis hypogaea
30,Cucumis melo
31,Citrus sinensis
32,Manihot esculenta
33,Lentinula edodes
34,Ictalurus punctatus
35,Hordeum vulgare
36,Anopheles gambiae
