,species
0,Homo sapiens
1,Mus musculus
2,Danio rerio
3,Drosophila melanogaster
4,Rattus norvegicus
5,Caenorhabditis elegans
6,Arabidopsis thaliana
7,Saccharomyces cerevisiae S288C
8,Sus scrofa
9,Gallus gallus
10,Solanum lycopersicum
11,Bos taurus
12,Glycine max
13,Bombyx mori
14,Oryctolagus cuniculus
15,2019-nCoV
16,Micrococcus scarlatinae Klein 1884
17,Oryza sativa
18,Achromobacter sp. ATCC 35328
19,Oryza L.
